Date,BBAS3.SA,ITUB4.SA,VALE3.SA,^BVSP
2014-01-02,6.0172553062438965,9.989376068115234,17.683605194091797,50341.0
2014-01-03,6.079933166503906,9.970356941223145,17.302602767944336,50981.0
2014-01-06,5.989678382873535,9.986204147338867,17.317846298217773,50974.0
2014-01-07,5.886881351470947,9.910151481628418,16.89112091064453,50430.0
2014-01-08,5.769043445587158,10.065437316894531,17.00796127319336,50577.0
2014-01-09,5.5534257888793945,9.751688003540039,16.403438568115234,49322.0
2014-01-10,5.754000663757324,9.799229621887207,16.383119583129883,49696.0
2014-01-13,5.6913228034973145,9.754855155944824,16.276439666748047,49427.0
2014-01-14,5.8718366622924805,9.900638580322266,16.266277313232422,49703.0
2014-01-15,5.809160232543945,9.90381145477295,16.48471450805664,50105.0
2014-01-16,5.766536712646484,9.697807312011719,16.677762985229492,49696.0
2014-01-17,5.616105556488037,9.507652282714844,16.50503921508789,49182.0
2014-01-20,5.591033935546875,9.43159008026123,16.149433135986328,48708.0
2014-01-21,5.616105556488037,9.564699172973633,15.788755416870117,48542.0
2014-01-22,5.631148815155029,9.586883544921875,16.15959358215332,49300.0
2014-01-23,5.392964839935303,9.396730422973633,15.71255111694336,48321.0
2014-01-24,5.307721138000488,9.273133277893066,15.875112533569336,47787.0
2014-01-27,5.372908115386963,9.46011734008789,15.809070587158203,47701.0
2014-01-28,5.312735557556152,9.526667594909668,16.12911605834961,47841.0
2014-01-29,5.077060222625732,9.346025466918945,16.814918518066406,47557.0
2014-01-30,5.039451599121094,9.355533599853516,16.510114669799805,47244.0
2014-01-31,5.237520217895508,9.590057373046875,16.789520263671875,47639.0
2014-02-03,5.044464588165283,9.48066520690918,16.322158813476562,46148.0
2014-02-04,5.2099409103393555,9.9404296875,16.596481323242188,46964.0
2014-02-05,5.174839019775391,9.892868995666504,17.01812171936035,46624.0
2014-02-06,5.415530681610107,10.098963737487793,17.404203414916992,47738.0
2014-02-07,5.3879499435424805,10.09262752532959,17.29752540588379,48074.0
2014-02-10,5.533368110656738,10.07677173614502,17.08924102783203,47711.0
2014-02-11,5.478207111358643,10.095796585083008,17.521045684814453,48463.0
2014-02-12,5.490746021270752,9.987990379333496,17.50580406188965,48217.0
2014-02-13,5.184868812561035,9.943601608276367,17.43468475341797,47813.0
2014-02-14,5.165226936340332,10.019699096679688,17.6988468170166,48201.0
2014-02-17,5.167748928070068,9.892868995666504,17.521045684814453,47576.0
2014-02-18,5.0163493156433105,9.832619667053223,17.561683654785156,46600.0
2014-02-19,4.958312511444092,10.030526161193848,17.739482879638672,47151.0
2014-02-20,5.1601786613464355,10.017624855041504,17.536285400390625,47289.0
2014-02-21,5.104666709899902,10.030526161193848,17.582006454467773,47380.0
2014-02-24,4.97597599029541,10.085356712341309,17.104482650756836,47393.0
2014-02-25,4.9936394691467285,10.017624855041504,16.51519775390625,46716.0
2014-02-26,4.920464992523193,9.978918075561523,16.52027702331543,46599.0
2014-02-27,5.119805335998535,10.136954307556152,16.769201278686523,47607.0
2014-02-28,5.223260879516602,10.065998077392578,16.76412010192871,47094.0
2014-03-05,5.223260879516602,9.915950775146484,16.179916381835938,46589.0
2014-03-06,5.109713077545166,10.190229415893555,16.12911605834961,47093.0
2014-03-07,5.0163493156433105,9.986946105957031,15.519508361816406,46244.0
2014-03-10,4.970932483673096,9.857874870300293,15.260431289672852,45533.0
2014-03-11,5.084481239318848,9.964357376098633,15.011506080627441,45698.0
2014-03-12,4.934433460235596,9.841739654541016,15.295988082885742,45862.0
2014-03-13,4.903669357299805,9.709440231323242,14.884506225585938,45444.0
2014-03-14,4.829333305358887,9.451289176940918,14.864187240600586,44966.0
2014-03-17,4.7934465408325195,9.6481294631958,14.889585494995117,45118.0
2014-03-18,4.857532501220703,9.82883071899414,15.143585205078125,46150.0
2014-03-19,5.080541610717773,9.874002456665039,15.041985511779785,46567.0
2014-03-20,5.357382774353027,10.080520629882812,15.179147720336914,47278.0
2014-03-21,5.298426628112793,10.119243621826172,15.458549499511719,47381.0
2014-03-24,5.329185962677002,10.412875175476074,15.534753799438477,47993.0
2014-03-25,5.3420023918151855,10.470964431762695,15.656671524047852,48180.0
2014-03-26,5.411213397979736,10.561314582824707,15.478867530822754,47966.0
2014-03-27,5.770081043243408,10.790417671203613,15.80399227142334,49647.0
2014-03-28,5.695743083953857,10.725882530212402,15.753191947937012,49768.0
2014-03-31,5.844419002532959,10.932395935058594,15.96147346496582,50415.0
2014-04-01,5.839290618896484,11.024397850036621,15.930994033813477,50270.0
2014-04-02,6.0828094482421875,11.379501342773438,16.52535629272461,51701.0
2014-04-03,5.987964630126953,11.247145652770996,16.718400955200195,51408.0
2014-04-04,6.041792392730713,11.085740089416504,16.499956130981445,51082.0
2014-04-07,6.382721424102783,11.337533950805664,16.93684196472168,52155.0
2014-04-08,6.200723648071289,11.172901153564453,16.89620018005371,51629.0
2014-04-09,6.0007829666137695,11.024397850036621,16.753957748413086,51185.0
2014-04-10,6.011034965515137,11.143844604492188,16.662521362304688,51127.0
2014-04-11,6.10844087600708,11.408559799194336,16.748878479003906,51867.0
2014-04-14,6.016158580780029,11.263286590576172,16.64219856262207,51596.0
2014-04-15,5.939260482788086,10.992124557495117,16.161075592041016,50454.0
2014-04-16,5.9238810539245605,11.19226360321045,16.234207153320312,51201.0
2014-04-17,6.180215835571289,11.476349830627441,16.53193473815918,52112.0
2014-04-22,6.218666076660156,11.557053565979004,16.040939331054688,51977.0
2014-04-23,6.113566875457764,11.53446102142334,15.82155990600586,51570.0
