Gmt time,Open,High,Low,Close,Volume
01.06.2018 00:00:00.000,1.16926,1.16937,1.16896,1.16902,974.74
01.06.2018 00:05:00.000,1.16903,1.16910,1.16889,1.16905,374.72999999999996
01.06.2018 00:10:00.000,1.16905,1.16906,1.16872,1.16875,622.54
01.06.2018 00:15:00.000,1.16876,1.16886,1.16864,1.16881,625.9399999999999
01.06.2018 00:20:00.000,1.16881,1.16883,1.16861,1.16870,538.04
01.06.2018 00:25:00.000,1.16870,1.16884,1.16864,1.16870,475.32
01.06.2018 00:30:00.000,1.16870,1.16894,1.16861,1.16891,517.5999999999999
01.06.2018 00:35:00.000,1.16890,1.16905,1.16878,1.16901,467.54
01.06.2018 00:40:00.000,1.16901,1.16915,1.16885,1.16910,513.76
01.06.2018 00:45:00.000,1.16909,1.16928,1.16906,1.16926,687.7199999999999
01.06.2018 00:50:00.000,1.16926,1.16934,1.16913,1.16913,529.99
01.06.2018 00:55:00.000,1.16916,1.16949,1.16912,1.16942,775.84
01.06.2018 01:00:00.000,1.16941,1.16965,1.16935,1.16941,1033.66
01.06.2018 01:05:00.000,1.16942,1.16958,1.16932,1.16946,640.4200000000001
01.06.2018 01:10:00.000,1.16946,1.16961,1.16936,1.16957,912.8299999999999
01.06.2018 01:15:00.000,1.16957,1.16961,1.16890,1.16892,1347.63
01.06.2018 01:20:00.000,1.16891,1.16896,1.16874,1.16886,1059.01
01.06.2018 01:25:00.000,1.16886,1.16925,1.16883,1.16906,673.6300000000001
01.06.2018 01:30:00.000,1.16904,1.16918,1.16894,1.16907,603.84
01.06.2018 01:35:00.000,1.16908,1.16963,1.16907,1.16962,615.98
01.06.2018 01:40:00.000,1.16963,1.16964,1.16916,1.16946,760.0699999999998
01.06.2018 01:45:00.000,1.16946,1.16949,1.16903,1.16932,795.03
01.06.2018 01:50:00.000,1.16931,1.16959,1.16919,1.16959,666.74
01.06.2018 01:55:00.000,1.16960,1.16960,1.16923,1.16925,693.16
01.06.2018 02:00:00.000,1.16925,1.16933,1.16905,1.16927,407.4200000000001
01.06.2018 02:05:00.000,1.16927,1.16938,1.16907,1.16918,641.28
01.06.2018 02:10:00.000,1.16917,1.16928,1.16913,1.16917,691.9300000000001
01.06.2018 02:15:00.000,1.16918,1.16955,1.16916,1.16947,610.98
01.06.2018 02:20:00.000,1.16946,1.16968,1.16945,1.16957,651.15
01.06.2018 02:25:00.000,1.16958,1.16963,1.16945,1.16945,479.84999999999997
01.06.2018 02:30:00.000,1.16946,1.16968,1.16937,1.16967,727.65
01.06.2018 02:35:00.000,1.16967,1.16968,1.16919,1.16920,467.19
01.06.2018 02:40:00.000,1.16923,1.16948,1.16918,1.16947,362.91
01.06.2018 02:45:00.000,1.16945,1.16945,1.16926,1.16927,275.44
01.06.2018 02:50:00.000,1.16924,1.16932,1.16909,1.16920,370.58000000000004
01.06.2018 02:55:00.000,1.16920,1.16921,1.16842,1.16850,869.71
01.06.2018 03:00:00.000,1.16852,1.16870,1.16822,1.16840,917.76
01.06.2018 03:05:00.000,1.16841,1.16867,1.16836,1.16854,766.24
01.06.2018 03:10:00.000,1.16855,1.16865,1.16836,1.16842,590.95
01.06.2018 03:15:00.000,1.16843,1.16844,1.16812,1.16817,543.85
01.06.2018 03:20:00.000,1.16816,1.16818,1.16773,1.16788,520.25
01.06.2018 03:25:00.000,1.16787,1.16818,1.16786,1.16816,576.24
